选股日,代码,名称,收益率%,总分,分组,趋势分,资金分,板块分,筹码分,大盘分,买入日,买入价,卖出日,卖出价,高开%,来源,结果
20260710,603538,美诺华,0.65,71.0,D,-5,19,10,17,10,20260713,31.00,20260714,31.20,+0.39,涨停热点,✅
20260721,605111,新洁能,3.21,79.0,D,-5,25,17,12,10,20260722,54.89,20260723,56.65,+1.93,涨停热点,✅
20260721,002213,大为股份,7.58,77.0,D,-5,23,17,12,10,20260722,25.98,20260723,27.95,+3.96,涨停热点,✅
20260721,002409,雅克科技,3.80,76.0,D,-5,25,17,9,10,20260722,146.42,20260723,151.98,+2.00,涨停热点,✅
20260721,600460,士兰微,2.59,75.0,D,-5,21,17,12,10,20260722,32.87,20260723,33.72,+0.00,涨停热点,✅
20260721,002273,水晶光电,-1.27,74.0,D,-5,22,10,17,10,20260722,27.56,20260723,27.21,+0.00,涨停热点,❌
20260721,603005,晶方科技,2.83,74.0,D,-5,18,17,14,10,20260722,31.10,20260723,31.98,+0.16,涨停热点,✅
20260721,600641,先导基电,3.03,73.0,D,-5,19,17,12,10,20260722,31.00,20260723,31.94,-2.61,涨停热点,✅
20260721,600552,凯盛科技,2.85,72.0,D,-5,23,10,14,10,20260722,16.15,20260723,16.61,+0.50,涨停热点,✅
20260721,002745,木林森,2.20,72.0,D,-5,20,10,17,10,20260722,10.93,20260723,11.17,+0.09,涨停热点,✅
20260721,603986,兆易创新,0.01,72.0,D,-5,21,17,9,10,20260722,479.94,20260723,480.00,+0.93,涨停热点,✅
20260721,603629,利通电子,9.95,70.0,D,-5,25,11,9,10,20260722,114.00,20260723,125.34,+5.97,涨停热点,✅
20260721,002138,顺络电子,-0.43,70.0,D,-5,23,10,12,10,20260722,43.97,20260723,43.78,+4.97,涨停热点,❌
